area,col1,col2,col3,col4,col5,col6,col7,col8,col9,col10,col11,col12,col13,col14,col15,col16,col17,col18,col19,col20,col21,col22,col23,col24
สตูล,322886,288,16,4.96,304,0.09,4891,284,16,347.3,300,6.13,3,2,4,3,2,0,2,0,0,0,0,0
รวม,322886,288,16,4.96,304,0.09,4891,284,16,347.3,300,6.13,3,2,4,3,2,0,2,0,0,0,0,0
