area,col1,col2,col3,col4,col5,col6,col7,col8,col9,col10,col11,col12,col13,col14,col15,col16,col17,col18,col19,col20,col21,col22,col23,col24
สตูล,322886,7871,424,134.6,8295,2.57,4891,7871,407,-13657.72,8278,169.25,63,41,56,63,46,55,45,37,1,0,0,0
รวม,322886,7871,424,134.6,8295,2.57,4891,7871,407,-13657.72,8278,169.25,63,41,56,63,46,55,45,37,1,0,0,0
