area,col1,col2,col3,col4,col5,col6,col7,col8,col9,col10,col11,col12,col13,col14
สตูล,168,118,286,25.88,245,6.15,212059,1105,109,102,9.23,72,68,6.15
รวม,168,118,286,25.88,245,6.15,212059,1105,109,102,9.23,72,68,6.15
