area,col1,col2,col3,col4,col5,col6,col7,col8,col9,col10,col11,col12,col13,col14,col15,col16,col17,col18,col19,col20,col21,col22,col23,col24
สตูล,21069,12542,59.53,771,528,157,44,6,121,7,18,14,8,11,1407,151,18,7,5764,2064,2,0,2442,191
รวม,21069,12542,59.53,771,528,157,44,6,121,7,18,14,8,11,1407,151,18,7,5764,2064,2,0,2442,191
