area,col1,col2,col3,col4,col5,col6,col7,col8,col9,col10,col11,col12,col13,col14,col15,col16,col17,col18,col19,col20,col21,col22,col23,col24
สตูล,322886,2428,112,34.95,2540,0.79,4891,2427,112,4545.45,2539,51.91,21,21,10,14,26,10,9,1,0,0,0,0
รวม,322886,2428,112,34.95,2540,0.79,4891,2427,112,4545.45,2539,51.91,21,21,10,14,26,10,9,1,0,0,0,0
