area,col1,col2,col3,col4,col5,col6,col7,col8,col9,col10,col11,col12,col13,col14,col15,col16
สตูล,125,12,14,133,15,10,21,18,23,18,18,9,1,0,0,0
รวม,125,12,14,133,15,10,21,18,23,18,18,9,1,0,0,0
