area,col1,col2,col3,col4,col5,col6,col7,col8,col9,col10
สตูล,2.8,268064,7506,1546,20.6,4891,137,1145,835.77,182
รวม,2.8,268064,7506,1546,20.6,4891,137,1145,835.77,182
