area,col1,col2,col3,col4,col5,col6,col7,col8,col9,col10,col11,col12,col13,col14,col15,col16,col17,col18,col19,col20,col21,col22,col23,col24,col25,col26,col27,col28,col29,col30,col31,col32,col33
สตูล,236,156,42,30,24,15,3,3,0,0,97,31,5,4,17,4,2,1,0,0,1,0,7,6,0,0,0,0,3,24,1,2,30
รวม,236,156,42,30,24,15,3,3,0,0,97,31,5,4,17,4,2,1,0,0,1,0,7,6,0,0,0,0,3,24,1,2,30
