area,col1,col2,col3,col4,col5,col6,col7,col8
เมืองสตูล,3245,541,16.67,1074,327,136,41.59,943
ควนโดน,492,129,26.22,337,42,18,42.86,70
ควนกาหลง,621,52,8.37,102,55,10,18.18,38
ท่าแพ,751,249,33.16,364,377,345,91.51,10420
ละงู,1401,121,8.64,172,138,49,35.51,109
ทุ่งหว้า,620,49,7.9,132,66,21,31.82,57
มะนัง,540,60,11.11,182,59,8,13.56,22
รวม,7670,1201,15.66,2363,1064,587,55.17,11659
