ampur,specialpp_code,specialpp_label,icd_code,icd_category,patient_count
ควนโดน,1B030,ทำร้ายตนเองรุนแรง (1B030),X78,พยายามฆ่าตัวตาย/ตั้งใจทำร้ายตนเอง (X60-X84),2
ควนโดน,1B031,ทำร้ายผู้อื่น/ก่อเหตุรุนแรง (1B031),F12,"ติดสารเสพติดอื่นๆ (F11,F12,F13,F14,F16,F17,F18,F19)",1
ควนโดน,1B031,ทำร้ายผู้อื่น/ก่อเหตุรุนแรง (1B031),F15,ติดยาบ้า Amphetamine (F15),3
ควนโดน,1B031,ทำร้ายผู้อื่น/ก่อเหตุรุนแรง (1B031),F19,"ติดสารเสพติดอื่นๆ (F11,F12,F13,F14,F16,F17,F18,F19)",4
ควนโดน,1B031,ทำร้ายผู้อื่น/ก่อเหตุรุนแรง (1B031),F29,โรคจิตอื่นๆ (F21-F29),2
ควนโดน,1B031,ทำร้ายผู้อื่น/ก่อเหตุรุนแรง (1B031),F54,"โรคทางจิตเวชอื่นๆ (F04-F09,F50-F69,F80,F82-F83,F88-F89,F91-F99 ยกเว้น F638,F988)",1
ควนโดน,1B036,พบว่าปกติ (1B036),F06,"โรคทางจิตเวชอื่นๆ (F04-F09,F50-F69,F80,F82-F83,F88-F89,F91-F99 ยกเว้น F638,F988)",1
ควนโดน,1B036,พบว่าปกติ (1B036),F09,"โรคทางจิตเวชอื่นๆ (F04-F09,F50-F69,F80,F82-F83,F88-F89,F91-F99 ยกเว้น F638,F988)",1
ควนโดน,1B036,พบว่าปกติ (1B036),F12,"ติดสารเสพติดอื่นๆ (F11,F12,F13,F14,F16,F17,F18,F19)",1
ควนโดน,1B036,พบว่าปกติ (1B036),F15,ติดยาบ้า Amphetamine (F15),6
ควนโดน,1B036,พบว่าปกติ (1B036),F19,"ติดสารเสพติดอื่นๆ (F11,F12,F13,F14,F16,F17,F18,F19)",16
ควนโดน,1B036,พบว่าปกติ (1B036),F20,โรคจิตเภท (F20),4
ควนโดน,1B036,พบว่าปกติ (1B036),F29,โรคจิตอื่นๆ (F21-F29),1
ควนโดน,1B036,พบว่าปกติ (1B036),F31,โรคอารมณ์สองขั้ว (F31),1
ควนโดน,1B036,พบว่าปกติ (1B036),F32,"โรคซึมเศร้า (F32,F33,F341,F38,F39)",9
ควนโดน,1B036,พบว่าปกติ (1B036),F39,"โรคซึมเศร้า (F32,F33,F341,F38,F39)",1
ควนโดน,1B036,พบว่าปกติ (1B036),F43,โรควิตกกังวล (F40-F48),1
ควนโดน,1B036,พบว่าปกติ (1B036),X60,พยายามฆ่าตัวตาย/ตั้งใจทำร้ายตนเอง (X60-X84),2
ควนโดน,1B037,ก่อเหตุรุนแรงแล้ว ได้รับการติดตาม (1B037),F03,โรคสมองเสื่อม (F00-F03),1
