ampur,specialpp_code,specialpp_label,icd_code,icd_category,patient_count
ละงู,1B037,ก่อเหตุรุนแรงแล้ว ได้รับการติดตาม (1B037),F19,"ติดสารเสพติดอื่นๆ (F11,F12,F13,F14,F16,F17,F18,F19)",12
ละงู,1B037,ก่อเหตุรุนแรงแล้ว ได้รับการติดตาม (1B037),F20,โรคจิตเภท (F20),12
ละงู,1B037,ก่อเหตุรุนแรงแล้ว ได้รับการติดตาม (1B037),F23,โรคจิตอื่นๆ (F21-F29),1
ละงู,1B037,ก่อเหตุรุนแรงแล้ว ได้รับการติดตาม (1B037),F29,โรคจิตอื่นๆ (F21-F29),7
ละงู,1B037,ก่อเหตุรุนแรงแล้ว ได้รับการติดตาม (1B037),F31,โรคอารมณ์สองขั้ว (F31),1
ละงู,1B037,ก่อเหตุรุนแรงแล้ว ได้รับการติดตาม (1B037),F32,"โรคซึมเศร้า (F32,F33,F341,F38,F39)",2
ละงู,1B037,ก่อเหตุรุนแรงแล้ว ได้รับการติดตาม (1B037),F42,โรควิตกกังวล (F40-F48),1
ละงู,1B037,ก่อเหตุรุนแรงแล้ว ได้รับการติดตาม (1B037),F79,ความบกพร่องทางสติปัญญา (F70-F79),1
ละงู,1B037,ก่อเหตุรุนแรงแล้ว ได้รับการติดตาม (1B037),F83,"โรคทางจิตเวชอื่นๆ (F04-F09,F50-F69,F80,F82-F83,F88-F89,F91-F99 ยกเว้น F638,F988)",1
เมืองสตูล,1B030,ทำร้ายตนเองรุนแรง (1B030),F29,โรคจิตอื่นๆ (F21-F29),1
เมืองสตูล,1B030,ทำร้ายตนเองรุนแรง (1B030),F32,"โรคซึมเศร้า (F32,F33,F341,F38,F39)",2
เมืองสตูล,1B030,ทำร้ายตนเองรุนแรง (1B030),F33,"โรคซึมเศร้า (F32,F33,F341,F38,F39)",2
เมืองสตูล,1B030,ทำร้ายตนเองรุนแรง (1B030),F41,โรควิตกกังวล (F40-F48),1
เมืองสตูล,1B030,ทำร้ายตนเองรุนแรง (1B030),F51,"โรคทางจิตเวชอื่นๆ (F04-F09,F50-F69,F80,F82-F83,F88-F89,F91-F99 ยกเว้น F638,F988)",2
เมืองสตูล,1B030,ทำร้ายตนเองรุนแรง (1B030),F81,ความบกพร่องทางการเรียนรู้ (F81),1
เมืองสตูล,1B030,ทำร้ายตนเองรุนแรง (1B030),F84,โรคออทิสติก (F84),1
เมืองสตูล,1B031,ทำร้ายผู้อื่น/ก่อเหตุรุนแรง (1B031),F09,"โรคทางจิตเวชอื่นๆ (F04-F09,F50-F69,F80,F82-F83,F88-F89,F91-F99 ยกเว้น F638,F988)",10
เมืองสตูล,1B031,ทำร้ายผู้อื่น/ก่อเหตุรุนแรง (1B031),F10,ติดแอลกอฮอล์ (F10),3
เมืองสตูล,1B031,ทำร้ายผู้อื่น/ก่อเหตุรุนแรง (1B031),F15,ติดยาบ้า Amphetamine (F15),30
เมืองสตูล,1B031,ทำร้ายผู้อื่น/ก่อเหตุรุนแรง (1B031),F17,"ติดสารเสพติดอื่นๆ (F11,F12,F13,F14,F16,F17,F18,F19)",1
เมืองสตูล,1B031,ทำร้ายผู้อื่น/ก่อเหตุรุนแรง (1B031),F19,"ติดสารเสพติดอื่นๆ (F11,F12,F13,F14,F16,F17,F18,F19)",31
เมืองสตูล,1B031,ทำร้ายผู้อื่น/ก่อเหตุรุนแรง (1B031),F20,โรคจิตเภท (F20),22
เมืองสตูล,1B031,ทำร้ายผู้อื่น/ก่อเหตุรุนแรง (1B031),F23,โรคจิตอื่นๆ (F21-F29),3
เมืองสตูล,1B031,ทำร้ายผู้อื่น/ก่อเหตุรุนแรง (1B031),F29,โรคจิตอื่นๆ (F21-F29),25
เมืองสตูล,1B031,ทำร้ายผู้อื่น/ก่อเหตุรุนแรง (1B031),F32,"โรคซึมเศร้า (F32,F33,F341,F38,F39)",4
เมืองสตูล,1B031,ทำร้ายผู้อื่น/ก่อเหตุรุนแรง (1B031),F33,"โรคซึมเศร้า (F32,F33,F341,F38,F39)",1
เมืองสตูล,1B031,ทำร้ายผู้อื่น/ก่อเหตุรุนแรง (1B031),F41,โรควิตกกังวล (F40-F48),2
เมืองสตูล,1B031,ทำร้ายผู้อื่น/ก่อเหตุรุนแรง (1B031),F43,โรควิตกกังวล (F40-F48),2
เมืองสตูล,1B031,ทำร้ายผู้อื่น/ก่อเหตุรุนแรง (1B031),F51,"โรคทางจิตเวชอื่นๆ (F04-F09,F50-F69,F80,F82-F83,F88-F89,F91-F99 ยกเว้น F638,F988)",3
เมืองสตูล,1B031,ทำร้ายผู้อื่น/ก่อเหตุรุนแรง (1B031),F54,"โรคทางจิตเวชอื่นๆ (F04-F09,F50-F69,F80,F82-F83,F88-F89,F91-F99 ยกเว้น F638,F988)",3
เมืองสตูล,1B031,ทำร้ายผู้อื่น/ก่อเหตุรุนแรง (1B031),F55,"โรคทางจิตเวชอื่นๆ (F04-F09,F50-F69,F80,F82-F83,F88-F89,F91-F99 ยกเว้น F638,F988)",2
เมืองสตูล,1B031,ทำร้ายผู้อื่น/ก่อเหตุรุนแรง (1B031),F70,ความบกพร่องทางสติปัญญา (F70-F79),2
เมืองสตูล,1B031,ทำร้ายผู้อื่น/ก่อเหตุรุนแรง (1B031),F79,ความบกพร่องทางสติปัญญา (F70-F79),1
เมืองสตูล,1B031,ทำร้ายผู้อื่น/ก่อเหตุรุนแรง (1B031),F90,โรคสมาธิสั้น (F90),1
เมืองสตูล,1B031,ทำร้ายผู้อื่น/ก่อเหตุรุนแรง (1B031),F91,"โรคทางจิตเวชอื่นๆ (F04-F09,F50-F69,F80,F82-F83,F88-F89,F91-F99 ยกเว้น F638,F988)",1
เมืองสตูล,1B031,ทำร้ายผู้อื่น/ก่อเหตุรุนแรง (1B031),G40,โรคลมชัก (G40-G41),1
เมืองสตูล,1B032,หลงผิด มุ่งร้ายเฉพาะเจาะจง (1B032),F15,ติดยาบ้า Amphetamine (F15),2
เมืองสตูล,1B032,หลงผิด มุ่งร้ายเฉพาะเจาะจง (1B032),F19,"ติดสารเสพติดอื่นๆ (F11,F12,F13,F14,F16,F17,F18,F19)",2
เมืองสตูล,1B032,หลงผิด มุ่งร้ายเฉพาะเจาะจง (1B032),F20,โรคจิตเภท (F20),2
เมืองสตูล,1B032,หลงผิด มุ่งร้ายเฉพาะเจาะจง (1B032),F29,โรคจิตอื่นๆ (F21-F29),1
เมืองสตูล,1B033,ก่อคดีอาชญากรรมรุนแรง (1B033),F10,ติดแอลกอฮอล์ (F10),1
เมืองสตูล,1B033,ก่อคดีอาชญากรรมรุนแรง (1B033),F15,ติดยาบ้า Amphetamine (F15),1
เมืองสตูล,1B033,ก่อคดีอาชญากรรมรุนแรง (1B033),F19,"ติดสารเสพติดอื่นๆ (F11,F12,F13,F14,F16,F17,F18,F19)",1
เมืองสตูล,1B033,ก่อคดีอาชญากรรมรุนแรง (1B033),F20,โรคจิตเภท (F20),1
เมืองสตูล,1B033,ก่อคดีอาชญากรรมรุนแรง (1B033),F29,โรคจิตอื่นๆ (F21-F29),1
เมืองสตูล,1B036,พบว่าปกติ (1B036),F09,"โรคทางจิตเวชอื่นๆ (F04-F09,F50-F69,F80,F82-F83,F88-F89,F91-F99 ยกเว้น F638,F988)",1
เมืองสตูล,1B036,พบว่าปกติ (1B036),F12,"ติดสารเสพติดอื่นๆ (F11,F12,F13,F14,F16,F17,F18,F19)",1
เมืองสตูล,1B036,พบว่าปกติ (1B036),F15,ติดยาบ้า Amphetamine (F15),14
เมืองสตูล,1B036,พบว่าปกติ (1B036),F19,"ติดสารเสพติดอื่นๆ (F11,F12,F13,F14,F16,F17,F18,F19)",17
เมืองสตูล,1B036,พบว่าปกติ (1B036),F20,โรคจิตเภท (F20),7
เมืองสตูล,1B036,พบว่าปกติ (1B036),F29,โรคจิตอื่นๆ (F21-F29),12
เมืองสตูล,1B036,พบว่าปกติ (1B036),F32,"โรคซึมเศร้า (F32,F33,F341,F38,F39)",3
เมืองสตูล,1B037,ก่อเหตุรุนแรงแล้ว ได้รับการติดตาม (1B037),F09,"โรคทางจิตเวชอื่นๆ (F04-F09,F50-F69,F80,F82-F83,F88-F89,F91-F99 ยกเว้น F638,F988)",10
เมืองสตูล,1B037,ก่อเหตุรุนแรงแล้ว ได้รับการติดตาม (1B037),F10,ติดแอลกอฮอล์ (F10),3
เมืองสตูล,1B037,ก่อเหตุรุนแรงแล้ว ได้รับการติดตาม (1B037),F12,"ติดสารเสพติดอื่นๆ (F11,F12,F13,F14,F16,F17,F18,F19)",1
เมืองสตูล,1B037,ก่อเหตุรุนแรงแล้ว ได้รับการติดตาม (1B037),F15,ติดยาบ้า Amphetamine (F15),29
เมืองสตูล,1B037,ก่อเหตุรุนแรงแล้ว ได้รับการติดตาม (1B037),F17,"ติดสารเสพติดอื่นๆ (F11,F12,F13,F14,F16,F17,F18,F19)",1
เมืองสตูล,1B037,ก่อเหตุรุนแรงแล้ว ได้รับการติดตาม (1B037),F19,"ติดสารเสพติดอื่นๆ (F11,F12,F13,F14,F16,F17,F18,F19)",33
เมืองสตูล,1B037,ก่อเหตุรุนแรงแล้ว ได้รับการติดตาม (1B037),F20,โรคจิตเภท (F20),20
