amphoe,facility,col1,col2,col3,col4,col5,col6,col7,col8,col9
ละงู,09639:โรงพยาบาลส่งเสริมสุขภาพตำบลปากน้ำ,1216,0,0,1216,0,0,0,0,0
ละงู,09640:โรงพยาบาลส่งเสริมสุขภาพตำบลบ้านทุ่งไหม้  ตำบลน้ำผุด,344,0,0,344,0,0,0,0,0
ละงู,09641:โรงพยาบาลส่งเสริมสุขภาพตำบลน้ำผุด,0,0,0,0,0,0,0,0,0
ละงู,09642:โรงพยาบาลส่งเสริมสุขภาพตำบลแหลมสน,0,0,0,0,0,0,0,0,0
ละงู,11405:โรงพยาบาลละงู,21,8,38.1,17,5,13.13,4,3,75
ละงู,22015:โรงพยาบาลส่งเสริมสุขภาพตำบลบ้านตันหยงละไน้ ตำบลแหลมสน,0,0,0,0,0,0,0,0,0
ละงู,77707:ศูนย์สุขภาพชุมชนกำแพง,0,0,0,0,0,0,0,0,0
ละงู,รวม,1581,8,0.51,1577,5,988.13,4,3,75
ทุ่งหว้า,09643:โรงพยาบาลส่งเสริมสุขภาพตำบลบ้านนาทอน ตำบลนาทอน,0,0,0,0,0,0,0,0,0
ทุ่งหว้า,09644:โรงพยาบาลส่งเสริมสุขภาพตำบลบ้านวังตง ตำบลนาทอน,0,0,0,0,0,0,0,0,0
ทุ่งหว้า,09645:โรงพยาบาลส่งเสริมสุขภาพตำบลขอนคลาน,0,0,0,0,0,0,0,0,0
ทุ่งหว้า,09646:โรงพยาบาลส่งเสริมสุขภาพตำบลทุ่งบุหลัง,0,0,0,0,0,0,0,0,0
ทุ่งหว้า,09647:โรงพยาบาลส่งเสริมสุขภาพตำบลบ้านทุ่งดินลุ่ม ตำบลป่าแก่บ่อหิน,0,0,0,0,0,0,0,0,0
ทุ่งหว้า,09648:โรงพยาบาลส่งเสริมสุขภาพตำบลบ้านเขาแดง ตำบลป่าแก่บ่อหิน,0,0,0,0,0,0,0,0,0
ทุ่งหว้า,11406:โรงพยาบาลทุ่งหว้า,19,19,100,14,14,14,5,5,100
ทุ่งหว้า,14715:โรงพยาบาลส่งเสริมสุขภาพตำบลบ้านคีรีวง ตำบลทุ่งหว้า,0,0,0,0,0,0,0,0,0
ทุ่งหว้า,รวม,19,19,100,14,14,14,5,5,100
มะนัง,09649:โรงพยาบาลส่งเสริมสุขภาพตำบลปาล์มพัฒนา,0,0,0,0,0,0,0,0,0
มะนัง,09650:โรงพยาบาลส่งเสริมสุขภาพตำบลบ้านมะนัง ตำบลปาล์มพัฒนา,0,0,0,0,0,0,0,0,0
มะนัง,09651:โรงพยาบาลส่งเสริมสุขภาพตำบลบ้านผัง 50 ตำบลนิคมพัฒนา,0,0,0,0,0,0,0,0,0
มะนัง,09652:สถานีอนามัยเฉลิมพระเกียรติ 60 พรรษา นวมินทราชินี,0,0,0,0,0,0,0,0,0
มะนัง,28786:โรงพยาบาลมะนัง,13,1,7.69,12,1,13,1,0,0
มะนัง,รวม,13,1,7.69,12,1,13,1,0,0
