area,col1,col2,col3,col4,col5,col6,col7,col8,col9,col10,col11,col12,col13,col14,col15,col16,col17,col18,col19,col20,col21,col22,col23,col24,col25,col26,col27,col28,col29,col30,col31,col32,col33,col34,col35,col36,col37,col38,col39,col40,col41,col42,col43,col44,col45,col46,col47,col48,col49,col50,col51,col52,col53,col54,col55
สตูล,4860,4580,9439,172,194,365,3.87,1413,86,1499,15.88,1229,336,1565,16.58,462,1558,2020,21.4,768,1599,2367,25.08,350,726,1076,11.4,10,8,18,0.19,108,55,163,1.73,471,191,662,7.01,430,107,537,5.69,1,3,4,0.04,26,67,93,0.99,243,179,422,4.47
รวม,4860,4580,9439,172,194,365,3.87,1413,86,1499,15.88,1229,336,1565,16.58,462,1558,2020,21.4,768,1599,2367,25.08,350,726,1076,11.4,10,8,18,0.19,108,55,163,1.73,471,191,662,7.01,430,107,537,5.69,1,3,4,0.04,26,67,93,0.99,243,179,422,4.47
